date,year,day_of_year,region,latitude,longitude,elevation,rainfall_mm,temperature_c,humidity_percent,wind_speed_kmh,soil_wetness
2018-01-28,2018,28,Karnataka,15.1394,76.9214,500.48,0.0,23.249999999999996,43.17,7.5960848,0.21
2018-01-28,2018,28,Odisha,23.7957,86.4304,278.56,0.0,15.18888888888889,46.71,4.1360038,0.66
2018-01-29,2018,29,Chhattisgarh,21.6289,85.5811,341.47,0.0,17.21111111111111,44.57,5.4395692,0.5
2018-01-29,2018,29,Jharkhand,23.7957,23.7957,423.4,0.0,8.988888888888889,58.79,11.764275399999999,0.04
2018-01-29,2018,29,Karnataka,15.1394,76.9214,500.48,0.0,23.099999999999998,44.23,8.143260399999999,0.2
2018-01-29,2018,29,Odisha,23.7957,86.4304,278.56,0.0,14.188888888888888,52.63,6.5822006,0.65
2018-01-30,2018,30,Chhattisgarh,21.6289,85.5811,341.47,0.0,17.322222222222223,42.98,6.5822006,0.49
2018-01-30,2018,30,Jharkhand,23.7957,23.7957,423.4,0.0,9.049999999999999,59.07,10.0422816,0.04
2018-01-30,2018,30,Karnataka,15.1394,76.9214,500.48,0.0,22.600000000000005,45.52,7.7731122,0.2
2018-01-30,2018,30,Odisha,23.7957,86.4304,278.56,0.0,15.0,54.6,8.529501999999999,0.65
2018-01-31,2018,31,Chhattisgarh,21.6289,85.5811,341.47,0.0,18.93888888888889,45.02,7.740925399999999,0.49
2018-01-31,2018,31,Jharkhand,23.7957,23.7957,423.4,0.0,9.261111111111113,53.98,9.1410512,0.04
2018-01-31,2018,31,Karnataka,15.1394,76.9214,500.48,0.0,23.36111111111111,25.97,6.5822006,0.2
2018-01-31,2018,31,Odisha,23.7957,86.4304,278.56,0.0,16.61111111111111,57.69,7.016722400000001,0.64
2018-02-01,2018,32,Chhattisgarh,21.6289,85.5811,341.47,0.0,19.07777777777778,44.35,7.483431,0.48
2018-02-01,2018,32,Jharkhand,23.7957,23.7957,423.4,0.0,10.088888888888887,50.84,8.85137,0.04
2018-02-01,2018,32,Karnataka,15.1394,76.9214,500.48,0.0,23.977777777777774,17.22,6.3407995999999995,0.2
2018-02-01,2018,32,Odisha,23.7957,86.4304,278.56,0.0,15.92777777777778,60.14,7.0489092,0.64
2018-02-02,2018,33,Chhattisgarh,21.6289,85.5811,341.47,0.0,20.87222222222222,39.19,4.4578718,0.48
2018-02-02,2018,33,Jharkhand,23.7957,23.7957,423.4,0.0,10.63888888888889,40.47,6.7753214,0.04
2018-02-02,2018,33,Karnataka,15.1394,76.9214,500.48,0.0,23.122222222222224,25.86,7.531711199999999,0.19
2018-02-02,2018,33,Odisha,23.7957,86.4304,278.56,0.0,18.86111111111111,51.9,5.2142616,0.64
2018-02-03,2018,34,Chhattisgarh,21.6289,85.5811,341.47,0.0,20.038888888888884,50.96,3.781949,0.47
2018-02-03,2018,34,Jharkhand,23.7957,23.7957,423.4,0.0,12.411111111111113,26.36,11.4102206,0.04
2018-02-03,2018,34,Karnataka,15.1394,76.9214,500.48,0.0,22.722222222222225,33.48,8.7869964,0.19
2018-02-03,2018,34,Odisha,23.7957,86.4304,278.56,0.0,19.511111111111113,54.3,3.4600809999999997,0.64
2018-02-04,2018,35,Chhattisgarh,21.6289,85.5811,341.47,0.0,21.327777777777776,51.24,4.0394434,0.47
2018-02-04,2018,35,Jharkhand,23.7957,23.7957,423.4,0.0,16.02777777777778,22.33,8.9640238,0.04
2018-02-04,2018,35,Karnataka,15.1394,76.9214,500.48,0.0,22.672222222222224,36.82,9.688226799999999,0.19
2018-02-04,2018,35,Odisha,23.7957,86.4304,278.56,0.0,19.711111111111116,56.58,5.5844098,0.63
2018-02-05,2018,36,Chhattisgarh,21.6289,85.5811,341.47,0.0,21.872222222222224,56.16,2.9933724,0.47
2018-02-05,2018,36,Jharkhand,23.7957,23.7957,423.4,0.0,16.48888888888889,20.77,5.874091,0.04
2018-02-05,2018,36,Karnataka,15.1394,76.9214,500.48,0.0,22.422222222222224,36.84,10.0422816,0.19
2018-02-05,2018,36,Odisha,23.7957,86.4304,278.56,0.0,19.122222222222224,57.89,5.2625418,0.63
2018-02-06,2018,37,Chhattisgarh,21.6289,85.5811,341.47,0.0,22.03888888888889,50.93,4.6509926,0.46
2018-02-06,2018,37,Jharkhand,23.7957,23.7957,423.4,0.0,18.150000000000002,13.98,7.338590399999999,0.04
2018-02-06,2018,37,Karnataka,15.1394,76.9214,500.48,0.0,24.988888888888894,31.39,5.149888000000001,0.18
2018-02-06,2018,37,Odisha,23.7957,86.4304,278.56,0.0,18.588888888888885,52.03,6.6304808,0.62
2018-02-07,2018,38,Chhattisgarh,21.6289,85.5811,341.47,0.0,21.472222222222225,49.29,6.0511184,0.46
2018-02-07,2018,38,Jharkhand,23.7957,23.7957,423.4,0.0,19.099999999999998,13.91,8.4168482,0.04
2018-02-07,2018,38,Karnataka,15.1394,76.9214,500.48,0.0,23.8,49.73,3.6371084,0.18
2018-02-07,2018,38,Odisha,23.7957,86.4304,278.56,0.0,19.272222222222222,54.2,8.8996502,0.61
2018-02-08,2018,39,Chhattisgarh,21.6289,85.5811,341.47,0.0,21.51111111111111,49.85,5.4395692,0.45
2018-02-08,2018,39,Jharkhand,23.7957,23.7957,423.4,0.0,19.527777777777782,12.34,5.9706513999999995,0.04
2018-02-08,2018,39,Karnataka,15.1394,76.9214,500.48,0.0,27.55,37.14,3.781949,0.18
2018-02-08,2018,39,Odisha,23.7957,86.4304,278.56,0.0,19.250000000000004,53.62,8.1754472,0.61
2018-02-09,2018,40,Chhattisgarh,21.6289,85.5811,341.47,0.0,22.399999999999995,53.93,4.747553,0.45
2018-02-09,2018,40,Jharkhand,23.7957,23.7957,423.4,0.0,21.238888888888894,12.02,8.3202878,0.04
2018-02-09,2018,40,Karnataka,15.1394,76.9214,500.48,0.0,27.672222222222224,33.39,5.6165966,0.18
2018-02-09,2018,40,Odisha,23.7957,86.4304,278.56,0.254,20.438888888888894,54.43,5.4073823999999995,0.61
2018-02-10,2018,41,Chhattisgarh,21.6289,85.5811,341.47,0.0,21.538888888888884,55.16,5.037234199999999,0.45
2018-02-10,2018,41,Jharkhand,23.7957,23.7957,423.4,0.0,19.422222222222217,23.04,14.757647799999999,0.04
2018-02-10,2018,41,Karnataka,15.1394,76.9214,500.48,0.254,26.472222222222225,41.7,7.129376199999999,0.18
2018-02-10,2018,41,Odisha,23.7957,86.4304,278.56,0.0,19.322222222222223,43.83,6.6304808,0.61
2018-02-11,2018,42,Chhattisgarh,21.6289,85.5811,341.47,0.0,19.72222222222222,48.44,4.1360038,0.45
2018-02-11,2018,42,Jharkhand,23.7957,23.7957,423.4,0.0,16.01111111111111,36.72,14.1782854,0.04
2018-02-11,2018,42,Karnataka,15.1394,76.9214,500.48,0.0,25.749999999999996,46.61,11.0078856,0.19
2018-02-11,2018,42,Odisha,23.7957,86.4304,278.56,0.0,19.827777777777776,37.89,3.2347733999999995,0.6
2018-02-12,2018,43,Chhattisgarh,21.6289,85.5811,341.47,0.0,21.788888888888888,41.17,4.6027124,0.44
2018-02-12,2018,43,Jharkhand,23.7957,23.7957,423.4,0.0,14.261111111111113,48.92,16.012933,0.04
2018-02-12,2018,43,Karnataka,15.1394,76.9214,500.48,0.0,26.922222222222217,47.56,9.897441,0.19
2018-02-12,2018,43,Odisha,23.7957,86.4304,278.56,0.0,18.077777777777783,51.81,6.43736,0.6
2018-02-13,2018,44,Chhattisgarh,21.6289,85.5811,341.47,0.0,22.5,41.71,3.8141358000000003,0.43
2018-02-13,2018,44,Jharkhand,23.7957,23.7957,423.4,0.0,12.13888888888889,43.41,11.2331932,0.04
2018-02-13,2018,44,Karnataka,15.1394,76.9214,500.48,0.0,25.749999999999996,46.9,10.5089902,0.18
2018-02-13,2018,44,Odisha,23.7957,86.4304,278.56,0.254,19.0,66.81,6.115492,0.59
2018-02-14,2018,45,Chhattisgarh,21.6289,85.5811,341.47,0.254,21.27777777777778,53.6,8.3524746,0.43
2018-02-14,2018,45,Jharkhand,23.7957,23.7957,423.4,0.0,12.427777777777777,37.7,9.253705,0.04
2018-02-14,2018,45,Karnataka,15.1394,76.9214,500.48,0.0,25.772222222222222,46.13,12.1987972,0.18
2018-02-14,2018,45,Odisha,23.7957,86.4304,278.56,0.254,17.299999999999997,66.95,10.8791384,0.59
2018-02-15,2018,46,Chhattisgarh,21.6289,85.5811,341.47,0.0,21.22222222222222,40.0,3.9267895999999998,0.43
2018-02-15,2018,46,Jharkhand,23.7957,23.7957,423.4,0.0,12.238888888888889,30.1,6.9845356,0.04
2018-02-15,2018,46,Karnataka,15.1394,76.9214,500.48,0.0,25.08888888888889,44.13,8.207633999999999,0.18
2018-02-15,2018,46,Odisha,23.7957,86.4304,278.56,0.0,18.449999999999996,45.86,7.161563,0.59
2018-02-16,2018,47,Chhattisgarh,21.6289,85.5811,341.47,0.0,21.63888888888889,38.08,3.8463226,0.42
2018-02-16,2018,47,Jharkhand,23.7957,23.7957,423.4,0.0,11.300000000000002,38.66,11.667715,0.04
2018-02-16,2018,47,Karnataka,15.1394,76.9214,500.48,0.0,25.599999999999998,34.31,8.143260399999999,0.18
2018-02-16,2018,47,Odisha,23.7957,86.4304,278.56,0.0,18.249999999999996,51.81,6.4051732,0.58
2018-02-17,2018,48,Chhattisgarh,21.6289,85.5811,341.47,0.0,22.227777777777778,46.13,5.069421,0.42
2018-02-17,2018,48,Jharkhand,23.7957,23.7957,423.4,0.0,10.78888888888889,50.45,8.5616888,0.04
2018-02-17,2018,48,Karnataka,15.1394,76.9214,500.48,0.0,26.077777777777776,24.55,6.7270411999999995,0.18
2018-02-17,2018,48,Odisha,23.7957,86.4304,278.56,0.0,19.650000000000002,53.61,6.839695,0.58
2018-02-18,2018,49,Chhattisgarh,21.6289,85.5811,341.47,0.0,23.200000000000003,39.29,2.8807186000000002,0.42
2018-02-18,2018,49,Jharkhand,23.7957,23.7957,423.4,0.0,12.677777777777777,43.63,5.6809702,0.04
2018-02-18,2018,49,Karnataka,15.1394,76.9214,500.48,0.0,25.372222222222224,29.31,8.0306066,0.18
2018-02-18,2018,49,Odisha,23.7957,86.4304,278.56,0.0,20.888888888888886,46.62,5.1820748000000005,0.57
2018-02-19,2018,50,Chhattisgarh,21.6289,85.5811,341.47,0.0,22.649999999999995,44.63,4.3934982,0.41
2018-02-19,2018,50,Jharkhand,23.7957,23.7957,423.4,0.0,15.58888888888889,28.28,6.3407995999999995,0.04
2018-02-19,2018,50,Karnataka,15.1394,76.9214,500.48,0.0,25.538888888888888,36.58,8.0627934,0.17
2018-02-19,2018,50,Odisha,23.7957,86.4304,278.56,0.0,22.022222222222222,44.9,2.5266638,0.57
2018-02-20,2018,51,Chhattisgarh,21.6289,85.5811,341.47,0.0,23.61111111111111,44.86,3.057746,0.41
2018-02-20,2018,51,Jharkhand,23.7957,23.7957,423.4,0.0,18.522222222222226,23.03,7.3064036,0.04
2018-02-20,2018,51,Karnataka,15.1394,76.9214,500.48,0.0,25.87222222222222,40.33,8.7869964,0.17
2018-02-20,2018,51,Odisha,23.7957,86.4304,278.56,0.0,21.799999999999997,47.97,3.4278942,0.57
2018-02-21,2018,52,Chhattisgarh,21.6289,85.5811,341.47,0.0,22.68888888888889,44.71,6.3729864,0.4
2018-02-21,2018,52,Jharkhand,23.7957,23.7957,423.4,0.0,19.177777777777774,25.47,7.740925399999999,0.04
2018-02-21,2018,52,Karnataka,15.1394,76.9214,500.48,0.0,25.85,35.03,9.3180786,0.17
2018-02-21,2018,52,Odisha,23.7957,86.4304,278.56,0.0,21.077777777777776,44.48,4.3613114,0.56
2018-02-22,2018,53,Chhattisgarh,21.6289,85.5811,341.47,0.0,24.200000000000003,39.96,3.138213,0.39
2018-02-22,2018,53,Jharkhand,23.7957,23.7957,423.4,0.0,17.82222222222222,52.26,8.7065294,0.04
2018-02-22,2018,53,Karnataka,15.1394,76.9214,500.48,0.0,26.350000000000005,34.56,8.4168482,0.17
2018-02-22,2018,53,Odisha,23.7957,86.4304,278.56,0.0,22.17777777777778,44.99,4.7153662,0.55
2018-02-23,2018,54,Chhattisgarh,21.6289,85.5811,341.47,0.0,24.177777777777774,38.85,4.3613114,0.38
2018-02-23,2018,54,Jharkhand,23.7957,23.7957,423.4,0.0,20.38888888888889,34.82,11.555061199999999,0.04
2018-02-23,2018,54,Karnataka,15.1394,76.9214,500.48,0.0,25.78888888888889,33.86,10.4768034,0.17
2018-02-23,2018,54,Odisha,23.7957,86.4304,278.56,0.0,23.93888888888889,44.52,5.0050474,0.54
2018-02-24,2018,55,Chhattisgarh,21.6289,85.5811,341.47,0.0,25.599999999999998,36.04,3.8463226,0.37
2018-02-24,2018,55,Jharkhand,23.7957,23.7957,423.4,0.0,17.36111111111111,21.99,9.028397400000001,0.04
2018-02-24,2018,55,Karnataka,15.1394,76.9214,500.48,0.0,25.02777777777778,32.57,11.989583,0.17
2018-02-24,2018,55,Odisha,23.7957,86.4304,278.56,0.0,24.827777777777776,42.96,2.3335429999999997,0.54
2018-02-25,2018,56,Chhattisgarh,21.6289,85.5811,341.47,0.254,26.077777777777776,36.59,7.4512442,0.35
2018-02-25,2018,56,Jharkhand,23.7957,23.7957,423.4,0.0,17.677777777777777,25.04,9.543386199999999,0.04
2018-02-25,2018,56,Karnataka,15.1394,76.9214,500.48,0.0,24.311111111111114,30.84,9.897441,0.16
2018-02-25,2018,56,Odisha,23.7957,86.4304,278.56,0.508,23.322222222222226,52.88,5.471756,0.53
2018-02-26,2018,57,Chhattisgarh,21.6289,85.5811,341.47,0.254,25.422222222222224,40.9,6.8718818,0.35
2018-02-26,2018,57,Jharkhand,23.7957,23.7957,423.4,0.0,18.75,32.94,7.805299,0.04
2018-02-26,2018,57,Karnataka,15.1394,76.9214,500.48,0.0,25.4,24.14,8.931837,0.16
2018-02-26,2018,57,Odisha,23.7957,86.4304,278.56,0.254,23.138888888888893,50.43,6.2603326,0.53
